candidate_id,model_family,fit_status,error_message,fit_time_sec,ngram_range,min_df,C,class_weight,valid_accuracy,valid_macro_precision,valid_macro_recall,valid_macro_f1,valid_weighted_f1,valid_confusion_matrix
logistic_regression_020,logistic_regression,ok,,1.1051757335662842,"[1, 2]",1,0.5,balanced,0.8914728682170543,0.874323246440647,0.8753193476392007,0.8745495874144718,0.891788531535009,"[[284, 13, 14], [21, 106, 4], [19, 13, 300]]"
logistic_regression_021,logistic_regression,ok,,1.1366286277770996,"[1, 2]",1,1.0,,0.8875968992248062,0.8979012463177876,0.8311880101836372,0.852157486489256,0.8823975193701745,"[[291, 3, 17], [38, 79, 14], [12, 3, 317]]"
logistic_regression_022,logistic_regression,ok,,1.6016368865966797,"[1, 2]",1,1.0,balanced,0.9056847545219638,0.8902998906777976,0.8880396281377442,0.8890565584245979,0.9057175976397915,"[[286, 13, 12], [19, 107, 5], [15, 9, 308]]"
logistic_regression_023,logistic_regression,ok,,4.187214136123657,"[1, 2]",1,2.0,,0.9056847545219638,0.9112427311034651,0.8682841377537346,0.8848463271716248,0.9035358170894077,"[[290, 4, 17], [25, 94, 12], [12, 3, 317]]"
logistic_regression_024,logistic_regression,ok,,3.667917013168335,"[1, 2]",1,2.0,balanced,0.91343669250646,0.902469317744537,0.8926588019193437,0.8972251660559699,0.9130528601504152,"[[288, 10, 13], [20, 106, 5], [12, 7, 313]]"
logistic_regression_025,logistic_regression,ok,,2.197707414627075,"[1, 2]",2,0.5,,0.872093023255814,0.888092964024196,0.8052074033351442,0.8273843983208217,0.8643648236762534,"[[290, 3, 18], [44, 70, 17], [15, 2, 315]]"
logistic_regression_026,logistic_regression,ok,,1.0484001636505127,"[1, 2]",2,0.5,balanced,0.8914728682170543,0.873881198381798,0.8737788344413712,0.873582029776443,0.8917268468473198,"[[284, 14, 13], [21, 105, 5], [19, 12, 301]]"
logistic_regression_027,logistic_regression,ok,,1.2594141960144043,"[1, 2]",2,1.0,,0.8888888888888888,0.8968716707267174,0.8382862837422689,0.8580057833801029,0.8847920546775413,"[[290, 3, 18], [35, 83, 13], [13, 4, 315]]"
logistic_regression_028,logistic_regression,ok,,1.7830209732055664,"[1, 2]",2,1.0,balanced,0.8992248062015504,0.8812956271497994,0.8813434440247429,0.8812248120663687,0.8993867675849146,"[[284, 14, 13], [20, 106, 5], [15, 11, 306]]"
logistic_regression_029,logistic_regression,ok,,2.7636497020721436,"[1, 2]",2,2.0,,0.9082687338501292,0.9094190961447598,0.873440991574851,0.8877978115411463,0.9065298628977531,"[[291, 5, 15], [27, 96, 8], [12, 4, 316]]"
